time,BTC_Dominance
2016-04-27,98.47
2016-04-28,98.44
2016-04-29,98.46
2016-04-30,98.41
2016-05-01,98.39
2016-05-02,98.36
2016-05-03,98.39
2016-05-04,98.38
2016-05-05,98.41
2016-05-06,98.47
2016-05-07,98.5
2016-05-08,98.46
2016-05-09,98.51
2016-05-10,98.49
2016-05-11,98.46
2016-05-12,98.46
2016-05-13,98.41
2016-05-14,98.42
2016-05-15,98.39
2016-05-16,98.37
2016-05-17,98.38
2016-05-18,98.37
2016-05-19,98.29
2016-05-20,98.21
2016-05-21,98.17
2016-05-22,98.16
2016-05-23,98.17
2016-05-24,98.18
2016-05-25,98.22
2016-05-26,98.18
2016-05-27,98.36
2016-05-28,98.52
2016-05-29,98.0
2016-05-30,98.06
2016-05-31,98.09
2016-06-01,98.07
2016-06-02,98.1
2016-06-03,98.13
2016-06-04,98.08
2016-06-05,98.05
2016-06-06,98.11
2016-06-07,98.12
2016-06-08,98.07
2016-06-09,98.0
2016-06-10,98.01
2016-06-11,98.11
2016-06-12,98.31
2016-06-13,98.29
2016-06-14,98.19
2016-06-15,98.23
2016-06-16,98.34
2016-06-17,98.36
2016-06-18,98.42
2016-06-19,98.41
2016-06-20,98.4
2016-06-21,98.37
2016-06-22,98.26
2016-06-23,98.24
2016-06-24,98.35
2016-06-25,98.41
2016-06-26,98.09
2016-06-27,98.16
2016-06-28,98.18
2016-06-29,98.15
2016-06-30,98.21
2016-07-01,98.22
2016-07-02,98.24
2016-07-03,98.15
2016-07-04,98.16
2016-07-05,98.13
2016-07-06,98.14
2016-07-07,98.06
2016-07-08,98.07
2016-07-09,97.9
2016-07-10,97.8
2016-07-11,97.42
2016-07-12,96.24
2016-07-13,95.3
2016-07-14,95.53
2016-07-15,95.9
2016-07-16,95.85
2016-07-17,95.75
2016-07-18,96.28
2016-07-19,94.95
2016-07-20,95.17
2016-07-21,95.56
2016-07-22,95.53
2016-07-23,95.19
2016-07-24,95.19
2016-07-25,95.37
2016-07-26,95.81
2016-07-27,95.85
2016-07-28,95.96
2016-07-29,96.3
2016-07-30,96.1
2016-07-31,95.91
2016-08-01,96.05
2016-08-02,95.81
2016-08-03,95.96
2016-08-04,96.04
2016-08-05,95.96
2016-08-06,95.9
2016-08-07,95.74
2016-08-08,95.86
2016-08-09,96.03
2016-08-10,96.24
2016-08-11,96.3
2016-08-12,96.3
2016-08-13,95.94
2016-08-14,95.84
2016-08-15,95.88
2016-08-16,96.02
2016-08-17,95.82
2016-08-18,95.79
2016-08-19,95.79
2016-08-20,95.91
2016-08-21,95.79
2016-08-22,95.74
2016-08-23,95.99
2016-08-24,96.01
2016-08-25,96.27
2016-08-26,96.23
2016-08-27,96.21
2016-08-28,95.78
2016-08-29,95.55
2016-08-30,95.68
2016-08-31,95.73
2016-09-01,96.01
2016-09-02,95.64
2016-09-03,95.82
2016-09-04,95.58
2016-09-05,95.35
2016-09-06,95.66
2016-09-07,95.71
2016-09-08,95.9
2016-09-09,95.77
2016-09-10,95.76
2016-09-11,95.9
2016-09-12,95.85
2016-09-13,95.82
2016-09-14,95.95
2016-09-15,96.11
2016-09-16,96.21
2016-09-17,96.09
2016-09-18,96.11
2016-09-19,96.04
2016-09-20,95.98
2016-09-21,96.16
2016-09-22,96.01
2016-09-23,96.04
2016-09-24,95.87
2016-09-25,95.82
2016-09-26,96.03
2016-09-27,96.06
2016-09-28,96.08
2016-09-29,96.16
2016-09-30,96.21
2016-10-01,96.52
2016-10-02,96.35
2016-10-03,96.34
2016-10-04,96.44
2016-10-05,96.58
2016-10-06,96.56
2016-10-07,96.65
2016-10-08,96.7
2016-10-09,95.87
2016-10-10,96.06
2016-10-11,96.33
2016-10-12,96.27
2016-10-13,96.24
2016-10-14,96.35
2016-10-15,96.43
2016-10-16,96.46
2016-10-17,96.57
2016-10-18,96.5
2016-10-19,96.51
2016-10-20,96.44
2016-10-21,96.43
2016-10-22,96.59
2016-10-23,96.51
2016-10-24,96.49
2016-10-25,96.62
2016-10-26,96.75
2016-10-27,96.78
2016-10-28,96.99
2016-10-29,97.32
2016-10-30,96.97
2016-10-31,97.11
2016-11-01,97.31
2016-11-02,97.33
2016-11-03,97.19
2016-11-04,97.13
2016-11-05,96.89
2016-11-06,96.9
2016-11-07,96.85
2016-11-08,96.88
2016-11-09,97.01
2016-11-10,96.87
2016-11-11,96.83
2016-11-12,96.78
2016-11-13,96.78
2016-11-14,96.74
2016-11-15,96.81
2016-11-16,97.1
2016-11-17,97.12
2016-11-18,97.19
2016-11-19,97.2
2016-11-20,97.19
2016-11-21,97.16
2016-11-22,97.12
2016-11-23,97.07
2016-11-24,97.06
2016-11-25,97.07
2016-11-26,97.07
2016-11-27,96.91
2016-11-28,96.99
2016-11-29,97.05
2016-11-30,96.96
2016-12-01,97.09
2016-12-02,97.2
2016-12-03,97.12
2016-12-04,97.16
2016-12-05,97.12
2016-12-06,97.11
2016-12-07,97.02
2016-12-08,97.06
2016-12-09,97.05
2016-12-10,97.14
2016-12-11,97.09
2016-12-12,97.1
2016-12-13,97.18
2016-12-14,97.15
2016-12-15,97.09
2016-12-16,95.06
2016-12-17,95.2
2016-12-18,95.11
2016-12-19,95.24
2016-12-20,95.39
2016-12-21,95.57
2016-12-22,95.89
2016-12-23,96.1
2016-12-24,95.99
2016-12-25,95.96
2016-12-26,95.92
2016-12-27,95.82
2016-12-28,95.9
2016-12-29,95.85
2016-12-30,95.77
2016-12-31,95.73
2017-01-01,95.79
2017-01-02,95.72
2017-01-03,95.69
2017-01-04,95.78
2017-01-05,95.46
2017-01-06,95.28
2017-01-07,95.42
2017-01-08,95.37
2017-01-09,95.09
2017-01-10,95.14
2017-01-11,94.79
2017-01-12,94.8
2017-01-13,94.93
2017-01-14,94.94
2017-01-15,94.91
2017-01-16,94.88
2017-01-17,95.11
2017-01-18,95.06
2017-01-19,95.08
2017-01-20,95.15
2017-01-21,95.22
2017-01-22,95.17
2017-01-23,95.16
2017-01-24,95.18
2017-01-25,95.21
2017-01-26,95.32
2017-01-27,95.26
2017-01-28,95.16
2017-01-29,95.15
2017-01-30,95.13
2017-01-31,95.37
2017-02-01,95.36
2017-02-02,95.5
2017-02-03,95.53
2017-02-04,95.59
2017-02-05,95.58
2017-02-06,95.54
2017-02-07,95.66
2017-02-08,95.67
2017-02-09,95.54
2017-02-10,95.58
2017-02-11,95.55
2017-02-12,95.56
2017-02-13,95.57
2017-02-14,95.49
2017-02-15,95.39
2017-02-16,95.56
2017-02-17,95.64
2017-02-18,95.71
2017-02-19,95.58
2017-02-20,95.81
2017-02-21,96.04
2017-02-22,95.96
2017-02-23,95.96
2017-02-24,96.09
2017-02-25,95.94
2017-02-26,95.96
2017-02-27,95.99
2017-02-28,95.88
2017-03-01,95.68
2017-03-02,95.54
2017-03-03,95.36
2017-03-04,95.53
2017-03-05,95.42
2017-03-06,95.31
