time,BTC_MarketCap
2016-04-27,6996165938.85
2016-04-28,7056804722.87
2016-04-29,7171502218.95
2016-04-30,7047243357.13
2016-05-01,7132990502.66
2016-05-02,6994109098.96
2016-05-03,7095107770.58
2016-05-04,7033092244.23
2016-05-05,7060468001.1
2016-05-06,7213051900.43
2016-05-07,7204809324.63
2016-05-08,7222033781.24
2016-05-09,7259725454.99
2016-05-10,7116229017.96
2016-05-11,7138771228.42
2016-05-12,7174701650.84
2016-05-13,7189881982.31
2016-05-14,7183839521.86
2016-05-15,7229663423.65
2016-05-16,7174482768.17
2016-05-17,7159783096.41
2016-05-18,7158033266.93
2016-05-19,6900704423.11
2016-05-20,7007659069.0
2016-05-21,7019879388.6
2016-05-22,6960753110.44
2016-05-23,7026087516.95
2016-05-24,7040815286.69
2016-05-25,7113365305.33
2016-05-26,7169256434.06
2016-05-27,7472737500.7
2016-05-28,8209468537.54
2016-05-29,8241443154.3
2016-05-30,8392014600.75
2016-05-31,8456879481.52
2016-06-01,8539356562.66
2016-06-02,8553988291.18
2016-06-03,9058697394.69
2016-06-04,9125043164.52
2016-06-05,9143061417.67
2016-06-06,9306436628.51
2016-06-07,9194943958.15
2016-06-08,9286550978.17
2016-06-09,9165951244.43
2016-06-10,9212507749.89
2016-06-11,9712422397.75
2016-06-12,10697972280.07
2016-06-13,11215235348.41
2016-06-14,10920996586.89
2016-06-15,11071266797.22
2016-06-16,12199201943.9
2016-06-17,11856222762.36
2016-06-18,12001877770.11
2016-06-19,12128199264.46
2016-06-20,11641556417.47
2016-06-21,10636939203.26
2016-06-22,9592341854.13
2016-06-23,9970286708.71
2016-06-24,10546499879.37
2016-06-25,10509779609.0
2016-06-26,10105007796.75
2016-06-27,10397682094.82
2016-06-28,10373826300.82
2016-06-29,10270037545.73
2016-06-30,10786442046.26
2016-07-01,10847263892.76
2016-07-02,11187521064.9
2016-07-03,10553741899.97
2016-07-04,10893360659.24
2016-07-05,10684791825.54
2016-07-06,10816518116.99
2016-07-07,10232085607.87
2016-07-08,10616054051.31
2016-07-09,10492479026.92
2016-07-10,10467989685.65
2016-07-11,10522162351.02
2016-07-12,10947952050.5
2016-07-13,10795971848.1
2016-07-14,10864802993.64
2016-07-15,10927390353.89
2016-07-16,10910103695.06
2016-07-17,11201879949.42
2016-07-18,11026314919.59
2016-07-19,11173030778.04
2016-07-20,11006370246.58
2016-07-21,10986126629.28
2016-07-22,10730979710.17
2016-07-23,10867146052.85
2016-07-24,11002567637.39
2016-07-25,10855127278.19
2016-07-26,10730946752.82
2016-07-27,10822294885.81
2016-07-28,10806092001.95
2016-07-29,10777858047.49
2016-07-30,10752337273.5
2016-07-31,10261898506.55
2016-08-01,9968784768.95
2016-08-02,8769796756.4
2016-08-03,9442563313.26
2016-08-04,9615375422.08
2016-08-05,9465878094.73
2016-08-06,9695250818.86
2016-08-07,9808512849.89
2016-08-08,9807257575.49
2016-08-09,9651290065.06
2016-08-10,9771466416.67
2016-08-11,9646961785.36
2016-08-12,9660217792.24
2016-08-13,9665777422.77
2016-08-14,9431294334.37
2016-08-15,9369918846.36
2016-08-16,9513084177.66
2016-08-17,9485613449.66
2016-08-18,9475979712.14
2016-08-19,9469397884.27
2016-08-20,9564944176.75
2016-08-21,9578797614.55
2016-08-22,9701039325.55
2016-08-23,9594025677.18
2016-08-24,9546615779.01
2016-08-25,9467165836.34
2016-08-26,9506785446.49
2016-08-27,9371728133.17
2016-08-28,9473796079.29
2016-08-29,9502524183.76
2016-08-30,9553999986.3
2016-08-31,9550433784.11
2016-09-01,9429913884.67
2016-09-02,9536731024.15
2016-09-03,9916555681.6
2016-09-04,10076326027.32
2016-09-05,10077751333.49
2016-09-06,10163737260.61
2016-09-07,10201022649.67
2016-09-08,10340497177.11
2016-09-09,10291237026.39
2016-09-10,10310815041.74
2016-09-11,10019024695.1
2016-09-12,10060780901.89
2016-09-13,10057099923.92
2016-09-14,10073872632.03
2016-09-15,10002139158.76
2016-09-16,10022018644.86
2016-09-17,10009300813.74
2016-09-18,10058178211.72
2016-09-19,10065786077.4
2016-09-20,9898827913.16
2016-09-21,9831988686.14
2016-09-22,9834619747.27
2016-09-23,9939606372.4
2016-09-24,9956810617.63
2016-09-25,9947251706.6
2016-09-26,10043651080.35
2016-09-27,10004550136.89
2016-09-28,9991248879.66
2016-09-29,9993528524.98
2016-09-30,10056006278.89
2016-10-01,10107031455.49
2016-10-02,10072852897.9
2016-10-03,10116644482.07
2016-10-04,10055398329.69
2016-10-05,10080370699.21
2016-10-06,10074198335.64
2016-10-07,10161020025.13
2016-10-08,10161619626.66
2016-10-09,10224214147.55
2016-10-10,10232772822.95
2016-10-11,10572252909.57
2016-10-12,10505383774.21
2016-10-13,10507023989.48
2016-10-14,10519226084.28
2016-10-15,10481455691.8
2016-10-16,10558234277.8
2016-10-17,10520525188.7
2016-10-18,10478527604.98
2016-10-19,10378411605.34
2016-10-20,10385916262.91
2016-10-21,10417283979.63
2016-10-22,10810968521.02
2016-10-23,10741859645.6
2016-10-24,10715002776.49
2016-10-25,10726023391.96
2016-10-26,11052104298.51
2016-10-27,11197257541.07
2016-10-28,11320360151.33
2016-10-29,11707351035.33
2016-10-30,11483626969.99
2016-10-31,11461988974.69
2016-11-01,11962252086.27
2016-11-02,12060126966.76
2016-11-03,11271681325.85
2016-11-04,11607382509.2
2016-11-05,11627097291.86
2016-11-06,11714027622.67
2016-11-07,11673100257.14
2016-11-08,11729843848.8
2016-11-09,11869539838.55
2016-11-10,11714867042.09
2016-11-11,11789218722.36
2016-11-12,11549085047.18
2016-11-13,11586865797.37
2016-11-14,11681569779.12
2016-11-15,11758600991.96
2016-11-16,12173737704.66
2016-11-17,12114484155.98
2016-11-18,12327162332.1
2016-11-19,12341475116.94
2016-11-20,11972000894.28
2016-11-21,12149419296.35
2016-11-22,12326572275.5
2016-11-23,12234283585.4
2016-11-24,12163419037.55
2016-11-25,12225826990.95
2016-11-26,12118973073.63
2016-11-27,12032432870.25
2016-11-28,12099710888.65
2016-11-29,12090015853.77
2016-11-30,12255586303.53
2016-12-01,12432742570.67
2016-12-02,12764746942.97
2016-12-03,12634370615.14
2016-12-04,12627539192.82
2016-12-05,12431419724.47
2016-12-06,12512078127.91
2016-12-07,12624008158.86
2016-12-08,12673996658.45
2016-12-09,12714979690.39
2016-12-10,12730887587.26
2016-12-11,12730833875.31
2016-12-12,12875624703.58
2016-12-13,12860875643.66
2016-12-14,12823278625.98
2016-12-15,12799163695.11
2016-12-16,13200123648.29
2016-12-17,13297454289.59
2016-12-18,13334453360.12
2016-12-19,13315280141.59
2016-12-20,13476314122.4
2016-12-21,13933973503.02
2016-12-22,14368585319.66
2016-12-23,15283591757.1
2016-12-24,14999295808.02
2016-12-25,15014236324.69
2016-12-26,15167482515.83
2016-12-27,15631513585.05
2016-12-28,16446822906.99
2016-12-29,16314687360.72
2016-12-30,16168258046.35
2016-12-31,16351699231.99
2017-01-01,16758537467.69
2017-01-02,17134870697.25
2017-01-03,17387911089.41
2017-01-04,19187220765.91
2017-01-05,16921047885.67
2017-01-06,15075032328.77
2017-01-07,15287867972.49
2017-01-08,15419303848.81
2017-01-09,15278838865.87
2017-01-10,15322972696.43
2017-01-11,13233900481.81
2017-01-12,13676561171.03
2017-01-13,14031479222.95
2017-01-14,13993036635.59
2017-01-15,14044218345.28
2017-01-16,14172720461.68
2017-01-17,15342040662.85
2017-01-18,14991012738.3
2017-01-19,15327335898.49
2017-01-20,15197984471.14
2017-01-21,15630327426.34
2017-01-22,15665510924.9
2017-01-23,15568574548.71
2017-01-24,14956604885.29
2017-01-25,15150622548.95
2017-01-26,15516159745.64
2017-01-27,15582927670.16
2017-01-28,15603820025.94
2017-01-29,15523286329.02
2017-01-30,15635270800.62
2017-01-31,16428785648.2
2017-02-01,16731419178.96
2017-02-02,17015333912.95
2017-02-03,17173909912.64
2017-02-04,17432352174.07
2017-02-05,17093756408.89
2017-02-06,17303651671.43
2017-02-07,17813137793.25
2017-02-08,17785574634.52
2017-02-09,16707850263.77
2017-02-10,16909903098.19
2017-02-11,17125783435.05
2017-02-12,17041197802.12
2017-02-13,16924403627.27
2017-02-14,17143318947.04
2017-02-15,17169793654.97
2017-02-16,17490041712.45
2017-02-17,17904325087.8
2017-02-18,17892228557.91
2017-02-19,17845939415.47
2017-02-20,18315979250.76
2017-02-21,19089833255.74
2017-02-22,19019071146.15
2017-02-23,19903461030.43
2017-02-24,19921159434.39
2017-02-25,19363933554.1
2017-02-26,19935321882.47
2017-02-27,20140255397.5
2017-02-28,20175665297.55
2017-03-01,20786622288.55
2017-03-02,21347326135.01
2017-03-03,21859173124.51
2017-03-04,21516516589.92
2017-03-05,21626464202.75
2017-03-06,21903260229.75
2017-03-07,21036780329.68
2017-03-08,19590388299.15
2017-03-09,20406776359.71
2017-03-10,18965601134.64
2017-03-11,20352727231.25
2017-03-12,21268807543.04
2017-03-13,21534223116.89
2017-03-14,21653410618.87
2017-03-15,21959753706.14
2017-03-16,20558876174.6
2017-03-17,18867663869.25
2017-03-18,17259566208.26
2017-03-19,18079683016.22
2017-03-20,18529490207.91
2017-03-21,19671702211.73
2017-03-22,18497939892.56
2017-03-23,18557056145.54
2017-03-24,16926757517.99
2017-03-25,17326034106.35
2017-03-26,17387167756.86
2017-03-27,18624629036.78
2017-03-28,18707822958.64
2017-03-29,18649793823.26
2017-03-30,18813703681.77
2017-03-31,19727466082.82
2017-04-01,19862517142.62
2017-04-02,21508635145.7
2017-04-03,21213021586.92
2017-04-04,21406900354.01
2017-04-05,21080454755.09
2017-04-06,21912602200.09
2017-04-07,22025169153.83
2017-04-08,21853472664.23
2017-04-09,22228747533.04
2017-04-10,22226779354.61
2017-04-11,22390905185.11
2017-04-12,22424426710.34
2017-04-13,21805965102.45
2017-04-14,21722580078.99
2017-04-15,21798950886.97
2017-04-16,21851636922.51
2017-04-17,22204374032.55
2017-04-18,22377111991.48
2017-04-19,22389438012.96
2017-04-20,22785218552.33
2017-04-21,23121445000.34
2017-04-22,23001874197.21
2017-04-23,23039339366.98
2017-04-24,23218389116.91
2017-04-25,23677727953.14
2017-04-26,23915455864.32
2017-04-27,25017155477.58
2017-04-28,25485620468.79
2017-04-29,26097758225.82
2017-04-30,26282174004.21
2017-05-01,27503087446.68
2017-05-02,27935820801.69
2017-05-03,29218048795.1
2017-05-04,30566775356.42
2017-05-05,31051943378.01
2017-05-06,32201449504.72
2017-05-07,34404641946.71
2017-05-08,37812202217.06
2017-05-09,36663725111.21
2017-05-10,39225203954.99
2017-05-11,39784430474.89
2017-05-12,38320291031.48
2017-05-13,39877875292.47
2017-05-14,40514396414.63
2017-05-15,41443867329.37
2017-05-16,44214663718.34
2017-05-17,47109439081.58
2017-05-18,48039235251.78
2017-05-19,48142565689.3
2017-05-20,50624397458.9
2017-05-21,50525825293.67
2017-05-22,50702159710.98
2017-05-23,55292684161.59
2017-05-24,56812747878.74
2017-05-25,52388774664.69
2017-05-26,52504191398.49
2017-05-27,46508274805.46
2017-05-28,49834474930.38
2017-05-29,51194870441.36
2017-05-30,48685223922.11
2017-05-31,52302177602.82
2017-06-01,57959441653.97
2017-06-02,58194780020.57
2017-06-03,59575498856.95
2017-06-04,59552942481.58
2017-06-05,62621400726.62
2017-06-06,66043194540.26
2017-06-07,62132784443.37
2017-06-08,64929135715.3
2017-06-09,65226565771.86
2017-06-10,65768594919.09
2017-06-11,67848567165.4
2017-06-12,61078426761.19
2017-06-13,63320943306.84
2017-06-14,58142375567.93
2017-06-15,56767448100.55
2017-06-16,58226695104.98
2017-06-17,61673597929.08
2017-06-18,59610455642.65
2017-06-19,61946003944.02
2017-06-20,65343538347.96
2017-06-21,61984314479.23
2017-06-22,63133129221.88
2017-06-23,63718271938.18
2017-06-24,60769344799.46
2017-06-25,58294227419.8
2017-06-26,55947883054.99
2017-06-27,59472776877.72
2017-06-28,59672712352.9
2017-06-29,58690325314.58
2017-06-30,56589867398.07
2017-07-01,55130407965.46
2017-07-02,57450310381.2
2017-07-03,58157557016.37
2017-07-04,59207714595.0
2017-07-05,59764862163.88
2017-07-06,59529220338.31
2017-07-07,55871620361.47
2017-07-08,57051858250.98
2017-07-09,55766517995.71
2017-07-10,50225457934.24
2017-07-11,49268046700.07
2017-07-12,52151764715.64
2017-07-13,50950011934.02
2017-07-14,69269179585.83
2017-07-15,61337161253.87
2017-07-16,57855677324.94
2017-07-17,68605441969.76
2017-07-18,75465649546.68
2017-07-19,68878391362.68
2017-07-20,85342790653.44
2017-07-21,79940580978.78
2017-07-22,85747157414.9
2017-07-23,83732294233.27
2017-07-24,83532778954.41
2017-07-25,76205285769.98
2017-07-26,75344124657.2
2017-07-27,78174654642.38
2017-07-28,77919007739.96
2017-07-29,78043749465.61
2017-07-30,77346531271.51
2017-07-31,81025977432.33
2017-08-01,81787823990.43
2017-08-02,79862981701.96
2017-08-03,84395280768.7
2017-08-04,84692558633.17
2017-08-05,96320192826.3
2017-08-06,98480656457.1
2017-08-07,105043780402.08
2017-08-08,108708570014.94
2017-08-09,104954343776.9
2017-08-10,107144004194.16
2017-08-11,113151115566.9
2017-08-12,116499694893.13
2017-08-13,118496790378.42
2017-08-14,123612503921.23
2017-08-15,118580922164.71
2017-08-16,123548791659.23
2017-08-17,123682500529.33
2017-08-18,125941978185.91
2017-08-19,125775413070.92
2017-08-20,125296815807.7
2017-08-21,126222790282.59
2017-08-22,130931098689.56
2017-08-23,132360545735.65
2017-08-24,134124619648.98
2017-08-25,136800694091.89
2017-08-26,137939845610.62
2017-08-27,138960285193.78
2017-08-28,140472578748.02
2017-08-29,145044843629.8
2017-08-30,147417054452.21
2017-08-31,152372670848.44
2017-09-01,157922967488.4
2017-09-02,145308795899.31
2017-09-03,145413174199.71
2017-09-04,130749693357.29
2017-09-05,135448905915.89
2017-09-06,144022485458.52
2017-09-07,144515971196.1
2017-09-08,134788848665.61
2017-09-09,133491228863.84
2017-09-10,131103431027.69
2017-09-11,130541981650.68
2017-09-12,129892044212.67
2017-09-13,120898206699.8
