time,ETH_Dominance
2017-07-14,27.08
2017-07-15,26.22
2017-07-16,25.44
2017-07-17,26.5
2017-07-18,30.69
2017-07-19,26.65
2017-07-20,25.31
2017-07-21,25.43
2017-07-22,25.42
2017-07-23,25.64
2017-07-24,25.69
2017-07-25,25.06
2017-07-26,25.03
2017-07-27,24.69
2017-07-28,22.92
2017-07-29,24.33
2017-07-30,23.28
2017-07-31,23.93
2017-08-01,26.13
2017-08-02,25.41
2017-08-03,24.48
2017-08-04,24.14
2017-08-05,25.12
2017-08-06,24.88
2017-08-07,24.56
2017-08-08,25.12
2017-08-09,24.85
2017-08-10,25.24
2017-08-11,25.67
2017-08-12,24.88
2017-08-13,23.73
2017-08-14,23.21
2017-08-15,22.85
2017-08-16,23.23
2017-08-17,22.9
2017-08-18,21.85
2017-08-19,21.45
2017-08-20,22.01
2017-08-21,23.94
2017-08-22,22.56
2017-08-23,22.51
2017-08-24,22.73
2017-08-25,22.95
2017-08-26,22.66
2017-08-27,23.67
2017-08-28,23.4
2017-08-29,24.27
2017-08-30,24.62
2017-08-31,24.0
2017-09-01,23.75
2017-09-02,22.8
2017-09-03,22.71
2017-09-04,21.71
2017-09-05,22.0
2017-09-06,21.98
2017-09-07,21.58
2017-09-08,21.21
2017-09-09,21.37
2017-09-10,21.37
2017-09-11,21.52
2017-09-12,21.44
2017-09-13,21.6
2017-09-14,21.2
2017-09-15,21.44
2017-09-16,21.01
2017-09-17,21.37
2017-09-18,22.43
2017-09-19,22.03
2017-09-20,22.46
2017-09-21,22.07
2017-09-22,22.38
2017-09-23,23.07
2017-09-24,23.39
2017-09-25,22.92
2017-09-26,22.7
2017-09-27,22.42
2017-09-28,22.26
2017-09-29,21.94
2017-09-30,21.64
2017-10-01,21.49
2017-10-02,21.52
2017-10-03,21.38
2017-10-04,21.73
2017-10-05,21.38
2017-10-06,22.1
2017-10-07,21.93
2017-10-08,21.27
2017-10-09,20.61
2017-10-10,20.6
2017-10-11,20.6
2017-10-12,19.1
2017-10-13,20.28
2017-10-14,20.0
2017-10-15,20.0
2017-10-16,19.8
2017-10-17,19.27
2017-10-18,19.32
2017-10-19,18.82
2017-10-20,18.11
2017-10-21,17.99
2017-10-22,17.68
2017-10-23,17.38
2017-10-24,18.7
2017-10-25,18.29
2017-10-26,17.93
2017-10-27,18.19
2017-10-28,18.06
2017-10-29,17.76
2017-10-30,17.81
2017-10-31,17.15
2017-11-01,15.95
2017-11-02,15.2
2017-11-03,15.8
2017-11-04,15.35
2017-11-05,15.12
2017-11-06,15.73
2017-11-07,15.27
2017-11-08,15.26
2017-11-09,16.06
2017-11-10,15.65
2017-11-11,16.01
2017-11-12,16.18
2017-11-13,15.73
