time,exBTC_MarketCap
2016-04-27,107334965.67
2016-04-28,109816660.33
2016-04-29,110210728.12
2016-04-30,112165124.06
2016-05-01,115154366.66
2016-05-02,114770656.24
2016-05-03,114297304.26
2016-05-04,113939587.67
2016-05-05,112345469.1
2016-05-06,110320086.67
2016-05-07,108429194.79
2016-05-08,110953198.43
2016-05-09,108139600.97
2016-05-10,107420365.14
2016-05-11,109942728.91
2016-05-12,110334043.64
2016-05-13,114495699.8
2016-05-14,113729788.09
2016-05-15,116517566.89
2016-05-16,116680034.17
2016-05-17,116282517.73
2016-05-18,117020019.61
2016-05-19,118062720.81
2016-05-20,125213195.88
2016-05-21,128261481.09
2016-05-22,128255354.44
2016-05-23,128347815.65
2016-05-24,127816132.79
2016-05-25,126715936.33
2016-05-26,130133233.16
2016-05-27,122508317.2
2016-05-28,121802950.84
2016-05-29,164718566.3
2016-05-30,162439902.75
2016-05-31,161797593.52
2016-06-01,164574260.16
2016-06-02,162829191.18
2016-06-03,169371711.69
2016-06-04,175513254.52
2016-06-05,177955342.76
2016-06-06,175903094.01
2016-06-07,173133286.61
2016-06-08,178980462.14
2016-06-09,183661958.42
2016-06-10,183355160.88
2016-06-11,183550787.75
2016-06-12,180402728.73
2016-06-13,191292698.59
2016-06-14,198123727.39
2016-06-15,195824787.22
2016-06-16,203041722.74
2016-06-17,194932266.4
2016-06-18,190208860.17
2016-06-19,193003415.82
2016-06-20,185843707.37
2016-06-21,173579468.02
2016-06-22,167261396.33
2016-06-23,175131164.25
2016-06-24,174522514.11
2016-06-25,166800079.84
2016-06-26,192986445.03
2016-06-27,190805897.72
2016-06-28,189244772.54
2016-06-29,190492168.44
2016-06-30,193491267.27
2016-07-01,193081276.87
2016-07-02,197348369.61
2016-07-03,194852796.77
2016-07-04,200907400.64
2016-07-05,200088802.34
2016-07-06,201125884.39
2016-07-07,198582755.27
2016-07-08,205109438.71
2016-07-09,219929726.32
2016-07-10,229979645.92
2016-07-11,271078958.88
2016-07-12,411145028.58
2016-07-13,507401011.7
2016-07-14,485191221.18
2016-07-15,448389601.06
2016-07-16,452524338.95
2016-07-17,476581201.88
2016-07-18,410253720.47
2016-07-19,564693445.98
2016-07-20,531230213.82
2016-07-21,488130255.22
2016-07-22,480147082.03
2016-07-23,522523610.41
2016-07-24,528750297.41
2016-07-25,502931595.35
2016-07-26,449736472.98
2016-07-27,448645836.73
2016-07-28,436386586.37
2016-07-29,398372420.83
2016-07-30,419859758.16
2016-07-31,419402839.29
2016-08-01,393697606.13
2016-08-02,367423749.12
2016-08-03,381613989.26
2016-08-04,380784212.08
2016-08-05,382828894.33
2016-08-06,397674961.12
2016-08-07,417605676.29
2016-08-08,405607102.97
2016-08-09,382824901.21
2016-08-10,366972129.73
2016-08-11,357168013.36
2016-08-12,357310875.97
2016-08-13,392098599.15
2016-08-14,391899803.37
2016-08-15,386180548.96
2016-08-16,378662952.36
2016-08-17,396729142.76
2016-08-18,398953977.74
2016-08-19,398380493.27
2016-08-20,390994376.45
2016-08-21,403370083.8
2016-08-22,413262850.3
2016-08-23,384735225.13
2016-08-24,380840763.21
2016-08-25,353134630.19
2016-08-26,357941891.34
2016-08-27,355013266.27
2016-08-28,399918990.42
2016-08-29,422946130.21
2016-08-30,412661482.05
2016-08-31,407511678.56
2016-09-01,375831812.05
2016-09-02,415345896.28
2016-09-03,414947881.6
2016-09-04,445779843.6
2016-09-05,468917342.69
2016-09-06,441112360.93
2016-09-07,437509094.71
2016-09-08,424364339.07
2016-09-09,435169305.99
2016-09-10,437472656.9
2016-09-11,411179217.98
2016-09-12,417724422.13
2016-09-13,420229160.84
2016-09-14,408452407.35
2016-09-15,389059613.68
2016-09-16,379596597.58
2016-09-17,391621633.18
2016-09-18,391010661.71
2016-09-19,398618527.39
2016-09-20,398020920.67
2016-09-21,377216580.75
2016-09-22,391911957.12
2016-09-23,394034420.73
2016-09-24,411397406.95
2016-09-25,415335974.51
2016-09-26,398780264.25
2016-09-27,394630260.99
2016-09-28,391814285.82
2016-09-29,384085252.81
2016-09-30,381268295.71
2016-10-01,351906309.85
2016-10-02,367613757.1
2016-10-03,370701848.15
2016-10-04,357632095.83
2016-10-05,344285942.53
2016-10-06,346699472.04
2016-10-07,340507319.83
2016-10-08,335700988.68
2016-10-09,422092171.49
2016-10-10,403599097.09
2016-10-11,388223877.51
2016-10-12,392166675.45
2016-10-13,395398170.12
2016-10-14,383890201.86
2016-10-15,374126326.82
2016-10-16,373326352.78
2016-10-17,361096254.08
2016-10-18,366712533.67
2016-10-19,362461235.41
2016-10-20,369488161.91
2016-10-21,372192014.43
2016-10-22,368563549.27
2016-10-23,375169007.59
2016-10-24,376359940.24
2016-10-25,362360641.64
2016-10-26,358879877.51
2016-10-27,360606861.07
2016-10-28,340442574.84
2016-10-29,313728382.88
2016-10-30,347724684.55
2016-10-31,330711763.24
2016-11-01,321259824.06
2016-11-02,322167636.07
2016-11-03,316475896.64
2016-11-04,332887489.37
2016-11-05,362171390.63
2016-11-06,363585062.62
2016-11-07,367986048.17
2016-11-08,365994311.67
2016-11-09,354382988.66
2016-11-10,366978191.96
2016-11-11,373656559.35
2016-11-12,371656334.21
2016-11-13,373276133.39
2016-11-14,381081544.26
2016-11-15,375207686.72
2016-11-16,353135964.68
2016-11-17,349152462.92
2016-11-18,346820572.12
2016-11-19,346117795.08
2016-11-20,336441158.28
2016-11-21,345411413.6
2016-11-22,355236034.25
2016-11-23,357969375.65
2016-11-24,357811457.3
2016-11-25,357831208.2
2016-11-26,355117598.13
2016-11-27,371763505.15
2016-11-28,364756487.71
2016-11-29,356182132.25
2016-11-30,373022413.27
2016-12-01,361584343.73
2016-12-02,357544987.09
2016-12-03,363411257.32
2016-12-04,358868414.88
2016-12-05,358550324.25
2016-12-06,361977742.37
2016-12-07,376487775.24
2016-12-08,372638907.47
2016-12-09,375487137.53
2016-12-10,364476350.72
2016-12-11,371083067.69
2016-12-12,373151600.26
2016-12-13,363213404.24
2016-12-14,365065470.54
2016-12-15,372702241.41
2016-12-16,652107700.05
2016-12-17,638628109.52
2016-12-18,651938373.78
2016-12-19,633246635.66
2016-12-20,621429149.28
2016-12-21,617348816.71
2016-12-22,590381413.63
2016-12-23,596673823.93
2016-12-24,600784640.44
2016-12-25,606640385.45
2016-12-26,618538002.19
2016-12-27,653544023.43
2016-12-28,673606990.99
2016-12-29,676555707.3
2016-12-30,683361097.45
2016-12-31,698147734.09
2017-01-01,705675933.19
2017-01-02,733806251.75
2017-01-03,748924063.91
2017-01-04,809952079.91
2017-01-05,767390771.67
2017-01-06,711421112.27
2017-01-07,700641682.49
2017-01-08,714078553.21
2017-01-09,749951421.47
